input_file,si,ti,n
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.544,0.4,168
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.615,0.388,169
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.682,0.431,170
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.706,0.368,171
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.754,0.394,172
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.827,0.387,173
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.891,0.435,174
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.921,0.368,175
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.976,0.405,176
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.054,0.4,177
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.105,0.436,178
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.139,0.38,179
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.203,0.41,180
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.287,0.407,181
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.339,0.438,182
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.376,0.382,183
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.422,0.416,184
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.493,0.405,185
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.56,0.456,186
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.601,0.388,187
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.651,0.423,188
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.733,0.436,189
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.806,0.463,190
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.845,0.392,191
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.899,0.436,192
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,4.99,0.435,193
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.059,0.478,194
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.098,0.399,195
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.156,0.439,196
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.257,0.444,197
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.322,0.488,198
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.362,0.413,199
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.41,0.434,200
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.508,0.446,201
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.571,0.49,202
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.634,0.508,203
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.69,0.495,204
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.797,0.478,205
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.842,0.516,206
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.889,0.458,207
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,5.956,0.506,208
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.076,0.507,209
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.115,0.558,210
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.166,0.51,211
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.23,0.498,212
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.343,0.485,213
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.391,0.536,214
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.448,0.467,215
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.509,0.477,216
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.627,0.484,217
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.684,0.528,218
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.739,0.443,219
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.802,0.461,220
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.91,0.464,221
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,6.974,0.536,222
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.042,0.453,223
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.104,0.485,224
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.212,0.499,225
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.271,0.522,226
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.333,0.473,227
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.393,0.482,228
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.524,0.533,229
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.58,0.561,230
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.647,0.501,231
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.702,0.54,232
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.829,0.541,233
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.893,0.59,234
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,7.976,0.558,235
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.029,0.557,236
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.153,0.559,237
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.18,0.586,238
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.278,0.591,239
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.376,0.642,240
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.467,0.795,241
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.519,0.648,242
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.579,0.516,243
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.621,0.541,244
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.725,0.538,245
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.753,0.589,246
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.826,0.527,247
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.861,0.543,248
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,8.959,0.546,249
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.006,0.588,250
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.079,0.554,251
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.125,0.569,252
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.242,0.601,253
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.318,0.712,254
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.387,0.672,255
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.431,0.683,256
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.502,0.621,257
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.571,0.641,258
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.643,0.614,259
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.693,0.645,260
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.758,0.789,261
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,9.953,0.693,262
